ID1,ID2,Sex,Age,"Age class (1=calf, 2=yearling, 3=adult)",Year,Location (1=Island 2=Småland 3=Sörmland 4=V-götland),Location 2 (1=Öland 2=Mainland,Weight (carcass),AP-titre (1:40-1:1280),AP-pos (at least 1:40),AP-PCR (1=pos),,,,,,,,,,,,,,,,,,,,,,,,,,
MSAF0908,S33,F,2.5,3,2009,3,2,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSAF1003,S106,F,2.5,3,2010,2,2,118,1:320,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
MSAF1007,S108,F,4.5,3,2010,2,2,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSYM0903,S18,M,1.5,2,2009,3,2,118,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
MSYF0903,S23,F,1.5,2,2009,3,2,119,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
MGYM0803,T3,F,1.5,2,2008,4,2,119,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
MVYF0801,H5,F,1.5,2,2008,2,2,120,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
MGYM0801,T10,F,1.5,2,2008,4,2,120,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
MSYF0911,S5,F,1.5,2,2009,3,2,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSYF0912,S9,F,1.5,2,2009,3,2,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSYM1001,S101,M,1.5,2,2010,2,2,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSYF0801,E13,F,1.5,2,2008,3,2,123,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
MSAM1001,S104,M,2.5,3,2010,2,2,123,1:1280,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
MVYF1006,V144,F,1.5,2,2010,2,2,124,1:320,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
MGYF0801,T1,F,1.5,2,2008,4,2,124,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
MVYF1002,F8,F,1.5,2,2010,2,2,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
